timestamp,power_mW
1746601949.8682292,52523
1746601949.8838482,52523
1746601949.8993626,52523
1746601949.914553,52523
1746601949.9300041,52523
1746601949.9454844,52523
1746601949.961145,53267
1746601949.97643,53267
1746601949.991627,53267
1746601950.0076466,53267
1746601950.0235248,53267
1746601950.0392046,53267
1746601950.0543554,53267
1746601950.0701714,53976
1746601950.0860991,53976
1746601950.1016786,53976
1746601950.1173685,53976
1746601950.133072,53976
1746601950.1481462,53976
1746601950.163312,54659
1746601950.179396,54659
1746601950.1946602,54659
1746601950.2101703,54659
1746601950.2253265,54659
1746601950.2409186,54659
1746601950.2571235,54659
1746601950.2732983,55450
1746601950.288388,55450
1746601950.3041508,55450
1746601950.46545,57624
1746601950.4735441,57624
1746601950.4886231,57624
1746601950.5043573,57624
1746601950.51945,57624
1746601950.535477,57624
1746601950.5511072,57624
1746601950.5662897,58171
1746601950.5817368,58171
1746601950.597123,58171
1746601950.6127298,58171
1746601950.627964,58171
1746601950.6432064,58171
1746601950.658536,58171
1746601950.6747494,58405
1746601950.6901171,58405
1746601950.7057254,58405
1746601950.721249,58405
1746601950.7369115,58405
1746601950.8033903,58563
1746601950.8166852,58563
1746601950.8334205,58563
1746601950.847001,58563
1746601950.88179,58454
1746601950.8942761,58454
1746601950.909865,58454
1746601950.925519,58454
1746601950.9415803,58454
1746601950.9577193,58454
1746601950.973151,58359
1746601950.9877255,58359
1746601951.0033948,58359
1746601951.0184624,58359
1746601951.0335352,58359
1746601951.048665,58359
1746601951.0642033,58286
1746601951.0792701,58286
1746601951.0944092,58286
1746601951.1101384,58286
1746601951.1258204,58286
1746601951.1409914,58286
1746601951.1561403,58286
1746601951.171712,58286
1746601951.1868563,58286
1746601951.2024643,58286
1746601951.2176092,58286
1746601951.233777,58286
1746601951.2488687,58286
1746601951.264969,58561
1746601951.28011,58561
1746601951.2954478,58561
1746601951.3106732,58561
1746601951.3263733,58561
1746601951.3424542,58561
1746601951.3581219,58561
1746601951.3732965,58004
1746601951.3888857,58004
1746601951.4045746,58004
1746601951.4202626,58004
1746601951.4354048,58004
1746601951.4514856,58004
1746601951.4671583,57174
1746601951.4834988,57174
1746601951.4985979,57174
1746601951.5141659,57174
1746601951.5297537,57174
1746601951.5449147,57174
1746601951.5605075,56064
1746601951.575669,56064
1746601951.591816,56064
1746601951.6074884,56064
1746601951.6231542,56064
1746601951.6382384,56064
1746601951.6535552,56064
1746601951.6693788,55126
1746601951.6845284,55126
1746601951.701121,55126
1746601951.7170563,55126
1746601951.7327628,55126
1746601951.7481165,55126
1746601951.7633524,54177
1746601951.7788277,54177
1746601951.794346,54177
1746601951.8099077,54177
1746601951.8256304,54177
1746601951.8412519,54177
1746601951.8565142,54177
1746601951.8719926,53276
1746601951.8872125,53276
1746601951.9025018,53276
1746601951.9176505,53276
1746601951.9337416,53276
1746601951.9488997,53276
1746601951.9640782,52648
1746601951.979228,52648
1746601951.9945264,52648
1746601952.0101473,52648
1746601952.0253177,52648
1746601952.0405002,52648
1746601952.0556746,52648
1746601952.0717623,52025
1746601952.0869079,52025
1746601952.102991,52025
1746601952.1186645,52025
1746601952.1348693,52025
1746601952.14994,52025
1746601952.1655765,51435
1746601952.1816494,51435
1746601952.196945,51435
1746601952.2125654,51435
1746601952.22865,51435
1746601952.244019,51435
1746601952.2595274,50795
1746601952.2754893,50795
1746601952.291571,50795
1746601952.3073125,50795
1746601952.3229582,50795
1746601952.3386447,50795
1746601952.3540614,50795
1746601952.3698013,49797
1746601952.3851528,49797
1746601952.4006898,49797
1746601952.415821,49797
1746601952.4311388,49797
1746601952.4472399,49797
1746601952.4627821,49860
1746601952.478888,49860
1746601952.4942896,49860
1746601952.509646,49860
1746601952.5253525,49860
1746601952.5404232,49860
1746601952.5565326,49860
1746601952.5726316,49925
1746601952.588254,49925
1746601952.603929,49925
1746601952.619213,49925
1746601952.6347353,49925
1746601952.650459,49925
1746601952.6656897,50016
1746601952.680965,50016
1746601952.696576,50016
1746601952.7126603,50016
1746601952.7283442,50016
1746601952.7439303,50016
1746601952.7595556,50039
1746601952.7747374,50039
1746601952.7901657,50039
1746601952.8057344,50039
1746601952.8218305,50039
1746601952.8370414,50039
1746601952.853046,50039
1746601952.868615,50078
1746601952.8833942,50078
1746601952.8984737,50078
1746601952.9136875,50078
1746601952.9297538,50078
1746601952.9457002,50078
1746601952.9615407,53097
1746601952.9769845,53097
1746601952.9924881,53097
1746601953.0080686,53097
1746601953.024181,53097
1746601953.0401793,53097
1746601953.0560791,53097
1746601953.0713332,58100
1746601953.0868685,58100
1746601953.1016448,58100
1746601953.1173434,58100
1746601953.1328495,58100
1746601953.1483946,58100
1746601953.16371,65402
