x-axis,V2,I2,P2
second,Volt,Ampere,Watt
+4.22400E+00,+5.43733E+00,+989.09E-03,+5.37866E+00
+4.22500E+00,+5.43783E+00,+940.12E-03,+5.11254E+00
+4.22600E+00,+5.43857E+00,+964.04E-03,+5.24325E+00
+4.22700E+00,+5.43119E+00,+1.00297E+00,+5.44672E+00
+4.22800E+00,+5.44024E+00,+976.01E-03,+5.31002E+00
+4.22900E+00,+5.43930E+00,+974.92E-03,+5.30207E+00
+4.23000E+00,+5.44173E+00,+982.90E-03,+5.34819E+00
+4.23100E+00,+5.43807E+00,+960.16E-03,+5.22208E+00
+4.23200E+00,+5.43803E+00,+978.65E-03,+5.32254E+00
+4.23300E+00,+5.43709E+00,+957.67E-03,+5.20610E+00
+4.23400E+00,+5.44028E+00,+968.24E-03,+5.26703E+00
+4.23500E+00,+5.43943E+00,+991.63E-03,+5.39405E+00
+4.23600E+00,+5.43897E+00,+962.47E-03,+5.23460E+00
+4.23700E+00,+5.43443E+00,+960.38E-03,+5.21960E+00
+4.23800E+00,+5.43663E+00,+977.73E-03,+5.31499E+00
+4.23900E+00,+5.43840E+00,+955.07E-03,+5.19425E+00
+4.24000E+00,+5.43665E+00,+961.54E-03,+5.22853E+00
+4.24100E+00,+5.43785E+00,+970.08E-03,+5.27523E+00
+4.24200E+00,+5.43853E+00,+966.93E-03,+5.25883E+00
+4.24300E+00,+5.43586E+00,+984.16E-03,+5.34989E+00
+4.24400E+00,+5.43758E+00,+965.03E-03,+5.24795E+00
+4.24500E+00,+5.43614E+00,+968.15E-03,+5.26295E+00
+4.24600E+00,+5.43692E+00,+991.14E-03,+5.38829E+00
+4.24700E+00,+5.44007E+00,+962.50E-03,+5.23540E+00
+4.24800E+00,+5.44127E+00,+960.96E-03,+5.22804E+00
+4.24900E+00,+5.43581E+00,+975.47E-03,+5.30158E+00
+4.25000E+00,+5.43924E+00,+949.00E-03,+5.16228E+00
+4.25100E+00,+5.44177E+00,+980.37E-03,+5.33456E+00
+4.25200E+00,+5.44109E+00,+956.44E-03,+5.20405E+00
+4.25300E+00,+5.43868E+00,+957.93E-03,+5.20988E+00
+4.25400E+00,+5.43814E+00,+968.29E-03,+5.26513E+00
+4.25500E+00,+5.44056E+00,+970.44E-03,+5.27947E+00
+4.25600E+00,+5.43627E+00,+968.04E-03,+5.26285E+00
+4.25700E+00,+5.43859E+00,+972.19E-03,+5.28822E+00
+4.25800E+00,+5.44131E+00,+961.53E-03,+5.23153E+00
+4.25900E+00,+5.43958E+00,+995.85E-03,+5.41623E+00
+4.26000E+00,+5.44219E+00,+968.61E-03,+5.27164E+00
+4.26100E+00,+5.44040E+00,+963.97E-03,+5.24445E+00
+4.26200E+00,+5.43946E+00,+973.74E-03,+5.29701E+00
+4.26300E+00,+5.43864E+00,+964.71E-03,+5.24613E+00
+4.26400E+00,+5.44076E+00,+967.30E-03,+5.26272E+00
+4.26500E+00,+5.44411E+00,+953.92E-03,+5.19429E+00
+4.26600E+00,+5.44211E+00,+963.48E-03,+5.24335E+00
+4.26700E+00,+5.43297E+00,+987.51E-03,+5.36525E+00
+4.26800E+00,+5.43936E+00,+961.96E-03,+5.23162E+00
+4.26900E+00,+5.43749E+00,+959.57E-03,+5.21841E+00
+4.27000E+00,+5.43547E+00,+996.11E-03,+5.41377E+00
+4.27100E+00,+5.43766E+00,+962.21E-03,+5.23221E+00
+4.27200E+00,+5.44215E+00,+971.08E-03,+5.28435E+00
+4.27300E+00,+5.43842E+00,+969.12E-03,+5.27001E+00
+4.27400E+00,+5.43845E+00,+962.06E-03,+5.23192E+00
+4.27500E+00,+5.43849E+00,+972.97E-03,+5.29164E+00
+4.27600E+00,+5.43623E+00,+976.65E-03,+5.30850E+00
+4.27700E+00,+5.43843E+00,+973.37E-03,+5.29383E+00
+4.27800E+00,+5.44146E+00,+997.24E-03,+5.42559E+00
+4.27900E+00,+5.43730E+00,+955.84E-03,+5.19706E+00
+4.28000E+00,+5.43705E+00,+969.20E-03,+5.26897E+00
+4.28100E+00,+5.43703E+00,+967.17E-03,+5.25905E+00
+4.28200E+00,+5.44018E+00,+968.43E-03,+5.26904E+00
+4.28300E+00,+5.43675E+00,+986.03E-03,+5.36092E+00
+4.28400E+00,+5.44058E+00,+966.13E-03,+5.25658E+00
