x-axis,V2,I2,P2
second,Volt,Ampere,Watt
-2.70000E+00,+5.45516E+00,+718.89E-03,+3.92222E+00
-2.69900E+00,+5.45676E+00,+722.98E-03,+3.94449E+00
-2.69800E+00,+5.45452E+00,+726.82E-03,+3.96552E+00
-2.69700E+00,+5.45685E+00,+722.39E-03,+3.94208E+00
-2.69600E+00,+5.45252E+00,+723.11E-03,+3.94208E+00
-2.69500E+00,+5.45537E+00,+729.50E-03,+3.97882E+00
-2.69400E+00,+5.45616E+00,+736.71E-03,+4.01970E+00
-2.69300E+00,+5.45794E+00,+719.02E-03,+3.92423E+00
-2.69200E+00,+5.45644E+00,+728.71E-03,+3.97627E+00
-2.69100E+00,+5.45275E+00,+719.65E-03,+3.92367E+00
-2.69000E+00,+5.45230E+00,+718.90E-03,+3.91919E+00
-2.68900E+00,+5.45539E+00,+726.08E-03,+3.96028E+00
-2.68800E+00,+5.45530E+00,+724.23E-03,+3.95145E+00
-2.68700E+00,+5.45566E+00,+720.32E-03,+3.93015E+00
-2.68600E+00,+5.45341E+00,+716.34E-03,+3.90706E+00
-2.68500E+00,+5.45280E+00,+719.85E-03,+3.92443E+00
-2.68400E+00,+5.45601E+00,+726.09E-03,+3.96084E+00
-2.68300E+00,+5.45282E+00,+725.36E-03,+3.95546E+00
-2.68200E+00,+5.45377E+00,+721.97E-03,+3.93753E+00
-2.68100E+00,+5.45837E+00,+734.06E-03,+4.00750E+00
-2.68000E+00,+5.45459E+00,+724.35E-03,+3.95036E+00
-2.67900E+00,+5.45377E+00,+729.91E-03,+3.98007E+00
-2.67800E+00,+5.45359E+00,+722.72E-03,+3.94138E+00
-2.67700E+00,+5.45801E+00,+719.03E-03,+3.92504E+00
-2.67600E+00,+5.45630E+00,+728.59E-03,+3.97517E+00
-2.67500E+00,+5.45286E+00,+719.47E-03,+3.92306E+00
-2.67400E+00,+5.45298E+00,+714.74E-03,+3.89837E+00
-2.67300E+00,+5.45951E+00,+711.70E-03,+3.88597E+00
-2.67200E+00,+5.45109E+00,+724.92E-03,+3.95199E+00
-2.67100E+00,+5.45878E+00,+726.32E-03,+3.96442E+00
-2.67000E+00,+5.45783E+00,+720.87E-03,+3.93476E+00
-2.66900E+00,+5.45321E+00,+719.02E-03,+3.92099E+00
-2.66800E+00,+5.44831E+00,+725.26E-03,+3.95091E+00
-2.66700E+00,+5.45751E+00,+723.92E-03,+3.95055E+00
-2.66600E+00,+5.45095E+00,+727.22E-03,+3.96497E+00
-2.66500E+00,+5.45241E+00,+729.27E-03,+3.97597E+00
-2.66400E+00,+5.45908E+00,+728.33E-03,+3.97516E+00
-2.66300E+00,+5.45230E+00,+720.90E-03,+3.93072E+00
-2.66200E+00,+5.45501E+00,+714.37E-03,+3.89631E+00
