x-axis,V2,I2,P2
second,Volt,Ampere,Watt
-2.70000E+00,+5.45801E+00,+731.39E-03,+3.99282E+00
-2.69900E+00,+5.45691E+00,+722.66E-03,+3.94380E+00
-2.69800E+00,+5.45327E+00,+723.66E-03,+3.94580E+00
-2.69700E+00,+5.45302E+00,+726.83E-03,+3.96379E+00
-2.69600E+00,+5.45694E+00,+728.48E-03,+3.97600E+00
-2.69500E+00,+5.45569E+00,+721.73E-03,+3.93822E+00
-2.69400E+00,+5.45527E+00,+726.79E-03,+3.96483E+00
-2.69300E+00,+5.45255E+00,+733.15E-03,+3.99813E+00
-2.69200E+00,+5.45673E+00,+721.37E-03,+3.93711E+00
-2.69100E+00,+5.45607E+00,+723.62E-03,+3.94759E+00
-2.69000E+00,+5.45395E+00,+732.64E-03,+3.99544E+00
-2.68900E+00,+5.45221E+00,+716.06E-03,+3.90402E+00
-2.68800E+00,+5.45423E+00,+725.29E-03,+3.95615E+00
-2.68700E+00,+5.45439E+00,+728.59E-03,+3.97324E+00
-2.68600E+00,+5.45484E+00,+728.14E-03,+3.97173E+00
-2.68500E+00,+5.45739E+00,+720.90E-03,+3.93414E+00
-2.68400E+00,+5.45716E+00,+730.16E-03,+3.98399E+00
-2.68300E+00,+5.45808E+00,+725.33E-03,+3.95884E+00
-2.68200E+00,+5.45687E+00,+724.54E-03,+3.95366E+00
-2.68100E+00,+5.45189E+00,+729.07E-03,+3.97523E+00
-2.68000E+00,+5.45459E+00,+730.02E-03,+3.98261E+00
-2.67900E+00,+5.45282E+00,+721.75E-03,+3.93580E+00
-2.67800E+00,+5.45263E+00,+722.81E-03,+3.94166E+00
-2.67700E+00,+5.45337E+00,+734.16E-03,+4.00338E+00
-2.67600E+00,+5.45459E+00,+721.90E-03,+3.93711E+00
-2.67500E+00,+5.45589E+00,+713.79E-03,+3.89479E+00
-2.67400E+00,+5.45363E+00,+728.27E-03,+3.97186E+00
-2.67300E+00,+5.45380E+00,+729.40E-03,+3.97764E+00
-2.67200E+00,+5.45566E+00,+719.26E-03,+3.92387E+00
-2.67100E+00,+5.45835E+00,+726.45E-03,+3.96538E+00
-2.67000E+00,+5.45651E+00,+723.87E-03,+3.94954E+00
-2.66900E+00,+5.45835E+00,+726.49E-03,+3.96557E+00
-2.66800E+00,+5.45402E+00,+726.09E-03,+3.95974E+00
-2.66700E+00,+5.45116E+00,+721.13E-03,+3.93181E+00
-2.66600E+00,+5.45787E+00,+721.47E-03,+3.93808E+00
-2.66500E+00,+5.45321E+00,+720.90E-03,+3.93175E+00
-2.66400E+00,+5.45601E+00,+732.23E-03,+3.99530E+00
-2.66300E+00,+5.45782E+00,+726.93E-03,+3.96777E+00
-2.66200E+00,+5.45630E+00,+722.83E-03,+3.94484E+00
-2.66100E+00,+5.45657E+00,+718.85E-03,+3.92266E+00
-2.66000E+00,+5.45430E+00,+731.63E-03,+3.98953E+00
-2.65900E+00,+5.45783E+00,+717.31E-03,+3.91388E+00
-2.65800E+00,+5.45501E+00,+724.85E-03,+3.95450E+00
-2.65700E+00,+5.45420E+00,+725.31E-03,+3.95665E+00
-2.65600E+00,+5.45566E+00,+733.98E-03,+4.00525E+00
-2.65500E+00,+5.45464E+00,+723.62E-03,+3.94699E+00
-2.65400E+00,+5.45469E+00,+717.21E-03,+3.91271E+00
-2.65300E+00,+5.45571E+00,+717.86E-03,+3.91732E+00
-2.65200E+00,+5.45459E+00,+719.72E-03,+3.92664E+00
-2.65100E+00,+5.45407E+00,+732.01E-03,+3.99241E+00
-2.65000E+00,+5.45495E+00,+724.80E-03,+3.95338E+00
-2.64900E+00,+5.45682E+00,+725.57E-03,+3.95851E+00
-2.64800E+00,+5.45565E+00,+724.92E-03,+3.95504E+00
-2.64700E+00,+5.45191E+00,+722.96E-03,+3.94070E+00
-2.64600E+00,+5.45662E+00,+728.00E-03,+3.97227E+00
-2.64500E+00,+5.45921E+00,+726.01E-03,+3.96406E+00
-2.64400E+00,+5.45587E+00,+730.31E-03,+3.98455E+00
-2.64300E+00,+5.45491E+00,+722.73E-03,+3.94181E+00
