x-axis,V2,I2,P2
second,Volt,Ampere,Watt
-2.70000E+00,+5.09894E+00,+63.38E-03,+322.46E-03
-2.69900E+00,+5.09692E+00,+64.91E-03,+331.35E-03
-2.69800E+00,+5.09648E+00,+59.84E-03,+306.75E-03
-2.69700E+00,+5.09427E+00,+59.22E-03,+301.56E-03
-2.69600E+00,+5.09737E+00,+58.56E-03,+298.75E-03
-2.69500E+00,+5.09783E+00,+58.28E-03,+295.49E-03
-2.69400E+00,+5.09830E+00,+53.01E-03,+268.82E-03
-2.69300E+00,+5.09584E+00,+58.58E-03,+299.34E-03
-2.69200E+00,+5.09923E+00,+62.30E-03,+317.72E-03
-2.69100E+00,+5.09621E+00,+55.49E-03,+282.00E-03
-2.69000E+00,+5.09923E+00,+61.52E-03,+315.05E-03
-2.68900E+00,+5.09885E+00,+64.03E-03,+325.72E-03
-2.68800E+00,+5.09973E+00,+58.40E-03,+298.15E-03
-2.68700E+00,+5.10106E+00,+67.37E-03,+343.50E-03
-2.68600E+00,+5.09509E+00,+58.48E-03,+297.86E-03
-2.68500E+00,+5.09782E+00,+56.91E-03,+288.67E-03
-2.68400E+00,+5.09466E+00,+59.45E-03,+301.12E-03
-2.68300E+00,+5.10012E+00,+68.26E-03,+349.88E-03
-2.68200E+00,+5.10130E+00,+63.47E-03,+324.23E-03
-2.68100E+00,+5.09662E+00,+57.70E-03,+295.78E-03
-2.68000E+00,+5.09701E+00,+56.37E-03,+286.31E-03
-2.67900E+00,+5.09662E+00,+63.97E-03,+325.42E-03
-2.67800E+00,+5.09755E+00,+50.65E-03,+258.73E-03
-2.67700E+00,+5.10162E+00,+60.42E-03,+308.39E-03
-2.67600E+00,+5.10094E+00,+60.40E-03,+308.24E-03
-2.67500E+00,+5.09659E+00,+67.08E-03,+342.33E-03
-2.67400E+00,+5.09448E+00,+59.70E-03,+305.27E-03
-2.67300E+00,+5.09630E+00,+56.64E-03,+287.35E-03
-2.67200E+00,+5.09915E+00,+46.74E-03,+240.07E-03
-2.67100E+00,+5.09359E+00,+58.42E-03,+299.78E-03
-2.67000E+00,+5.09730E+00,+65.79E-03,+334.03E-03
-2.66900E+00,+5.09783E+00,+63.43E-03,+323.36E-03
-2.66800E+00,+5.09951E+00,+60.59E-03,+308.24E-03
-2.66700E+00,+5.09853E+00,+52.00E-03,+264.50E-03
-2.66600E+00,+5.09559E+00,+60.22E-03,+308.82E-03
-2.66500E+00,+5.09917E+00,+53.57E-03,+272.07E-03
-2.66400E+00,+5.09987E+00,+58.40E-03,+299.34E-03
-2.66300E+00,+5.10103E+00,+61.47E-03,+313.59E-03
-2.66200E+00,+5.09666E+00,+63.99E-03,+326.31E-03
-2.66100E+00,+5.09762E+00,+50.40E-03,+255.80E-03
-2.66000E+00,+5.10037E+00,+55.20E-03,+280.95E-03
-2.65900E+00,+5.09748E+00,+53.51E-03,+272.38E-03
-2.65800E+00,+5.09441E+00,+54.86E-03,+280.66E-03
-2.65700E+00,+5.09762E+00,+62.77E-03,+318.18E-03
-2.65600E+00,+5.09744E+00,+58.82E-03,+299.37E-03
-2.65500E+00,+5.09832E+00,+66.30E-03,+338.30E-03
-2.65400E+00,+5.10015E+00,+62.71E-03,+319.19E-03
-2.65300E+00,+5.09441E+00,+51.69E-03,+262.02E-03
-2.65200E+00,+5.09980E+00,+60.59E-03,+308.24E-03
-2.65100E+00,+5.09726E+00,+62.24E-03,+318.30E-03
-2.65000E+00,+5.09980E+00,+57.48E-03,+292.24E-03
-2.64900E+00,+5.09810E+00,+54.19E-03,+277.25E-03
-2.64800E+00,+5.09637E+00,+58.84E-03,+299.33E-03
-2.64700E+00,+5.10039E+00,+62.90E-03,+321.41E-03
-2.64600E+00,+5.10030E+00,+59.49E-03,+303.49E-03
-2.64500E+00,+5.09857E+00,+55.23E-03,+280.64E-03
-2.64400E+00,+5.09723E+00,+68.38E-03,+348.54E-03
-2.64300E+00,+5.09876E+00,+56.83E-03,+291.01E-03
-2.64200E+00,+5.09527E+00,+58.50E-03,+299.64E-03
-2.64100E+00,+5.09814E+00,+66.07E-03,+335.06E-03
-2.64000E+00,+5.09865E+00,+53.75E-03,+273.87E-03
-2.63900E+00,+5.10133E+00,+63.22E-03,+320.54E-03
-2.63800E+00,+5.09819E+00,+62.34E-03,+320.11E-03
-2.63700E+00,+5.09864E+00,+57.01E-03,+291.08E-03
-2.63600E+00,+5.09780E+00,+61.85E-03,+312.95E-03
-2.63500E+00,+5.10019E+00,+62.69E-03,+320.52E-03
-2.63400E+00,+5.09737E+00,+65.99E-03,+335.81E-03
-2.63300E+00,+5.10213E+00,+66.70E-03,+341.98E-03
-2.63200E+00,+5.09494E+00,+48.99E-03,+248.36E-03
-2.63100E+00,+5.09668E+00,+64.62E-03,+329.15E-03
-2.63000E+00,+5.09708E+00,+66.10E-03,+337.57E-03
-2.62900E+00,+5.09887E+00,+51.34E-03,+261.42E-03
-2.62800E+00,+5.09851E+00,+63.82E-03,+326.02E-03
-2.62700E+00,+5.10060E+00,+45.80E-03,+235.37E-03
-2.62600E+00,+5.09916E+00,+68.23E-03,+346.78E-03
-2.62500E+00,+5.09882E+00,+64.93E-03,+330.92E-03
-2.62400E+00,+5.09766E+00,+58.44E-03,+297.61E-03
-2.62300E+00,+5.09579E+00,+62.00E-03,+315.92E-03
-2.62200E+00,+5.09705E+00,+69.43E-03,+352.11E-03
-2.62100E+00,+5.09607E+00,+71.61E-03,+364.53E-03
-2.62000E+00,+5.09865E+00,+64.39E-03,+329.59E-03
-2.61900E+00,+5.10050E+00,+52.31E-03,+264.83E-03
-2.61800E+00,+5.09830E+00,+69.31E-03,+353.31E-03
-2.61700E+00,+5.09749E+00,+63.27E-03,+324.12E-03
-2.61600E+00,+5.10115E+00,+62.21E-03,+316.54E-03
-2.61500E+00,+5.09473E+00,+59.33E-03,+303.81E-03
-2.61400E+00,+5.10051E+00,+58.23E-03,+295.21E-03
-2.61300E+00,+5.09901E+00,+64.80E-03,+328.84E-03
-2.61200E+00,+5.09708E+00,+71.05E-03,+361.59E-03
-2.61100E+00,+5.09855E+00,+59.11E-03,+302.16E-03
-2.61000E+00,+5.09548E+00,+59.65E-03,+305.28E-03
-2.60900E+00,+5.09777E+00,+63.01E-03,+320.70E-03
-2.60800E+00,+5.09645E+00,+67.05E-03,+340.83E-03
-2.60700E+00,+5.09894E+00,+68.76E-03,+349.76E-03
-2.60600E+00,+5.10041E+00,+62.64E-03,+321.26E-03
-2.60500E+00,+5.09994E+00,+63.58E-03,+322.77E-03
-2.60400E+00,+5.09609E+00,+57.81E-03,+294.06E-03
-2.60300E+00,+5.09931E+00,+65.03E-03,+331.94E-03
-2.60200E+00,+5.09955E+00,+51.87E-03,+262.86E-03
-2.60100E+00,+5.09930E+00,+66.86E-03,+342.31E-03
-2.60000E+00,+5.09572E+00,+63.69E-03,+326.03E-03
-2.59900E+00,+5.09839E+00,+70.54E-03,+360.72E-03
-2.59800E+00,+5.09651E+00,+52.36E-03,+266.44E-03
-2.59700E+00,+5.09468E+00,+57.24E-03,+290.72E-03
-2.59600E+00,+5.09637E+00,+51.85E-03,+265.57E-03
-2.59500E+00,+5.09971E+00,+59.26E-03,+303.49E-03
